Symbol,Country,Company
RELIANCE.NS,India,Reliance Industries Limited
TCS.NS,India,Tata Consultancy Services Limited
HDFCBANK.NS,India,HDFC Bank Limited
ICICIBANK.NS,India,ICICI Bank Limited
HINDUNILVR.NS,India,Hindustan Unilever Limited
INFY.NS,India,Infosys Limited
HDFC.NS,India,Housing Development Finance Corporation Limited
ITC.NS,India,ITC Limited
SBIN.NS,India,State Bank of India
BHARTIARTL.NS,India,Bharti Airtel Limited
KOTAKBANK.NS,India,Kotak Mahindra Bank Limited
BAJFINANCE.NS,India,Bajaj Finance Limited
LICI.NS,India,Life Insurance Corporation Of India
LT.NS,India,Larsen & Toubro Limited
HCLTECH.NS,India,HCL Technologies Limited
ASIANPAINT.NS,India,Asian Paints Limited
AXISBANK.NS,India,Axis Bank Limited
MARUTI.NS,India,Maruti Suzuki India Limited
SUNPHARMA.NS,India,Sun Pharmaceutical Industries Limited
TITAN.NS,India,Titan Company Limited
DMART.NS,India,Avenue Supermarts Limited
ULTRACEMCO.NS,India,UltraTech Cement Limited
BAJAJFINSV.NS,India,Bajaj Finserv Limited
WIPRO.NS,India,Wipro Limited
ADANIENT.NS,India,Adani Enterprises Limited
ONGC.NS,India,Oil & Natural Gas Corporation Limited
NTPC.NS,India,NTPC Limited
JSWSTEEL.NS,India,JSW Steel Limited
POWERGRID.NS,India,Power Grid Corporation of India Limited
M&M.NS,India,Mahindra & Mahindra Limited
LTIM.NS,India,LTIMindtree Limited
TATAMOTORS.NS,India,Tata Motors Limited
ADANIGREEN.NS,India,Adani Green Energy Limited
ADANIPORTS.NS,India,Adani Ports and Special Economic Zone Limited
COALINDIA.NS,India,Coal India Limited
TATASTEEL.NS,India,Tata Steel Limited
HINDZINC.NS,India,Hindustan Zinc Limited
PIDILITIND.NS,India,Pidilite Industries Limited
SIEMENS.NS,India,Siemens Limited
ADANITRANS.NS,India,Adani Transmission Limited
SBILIFE.NS,India,SBI Life Insurance Company Limited
IOC.NS,India,Indian Oil Corporation Limited
BAJAJ-AUTO.NS,India,Bajaj Auto Limited
GRASIM.NS,India,Grasim Industries Limited
TECHM.NS,India,Tech Mahindra Limited
HDFCLIFE.NS,India,HDFC Life Insurance Company Limited
BRITANNIA.NS,India,Britannia Industries Limited
VEDL.NS,India,Vedanta Limited
GODREJCP.NS,India,Godrej Consumer Products Limited
DABUR.NS,India,Dabur India Limited
ATGL.NS,India,Adani Total Gas Limited
SHREECEM.NS,India,SHREE CEMENT LIMITED
HAL.NS,India,Hindustan Aeronautics Limited
HINDALCO.NS,India,Hindalco Industries Limited
VBL.NS,India,Varun Beverages Limited
DLF.NS,India,DLF Limited
BANKBARODA.NS,India,Bank of Baroda
INDUSINDBK.NS,India,IndusInd Bank Limited
EICHERMOT.NS,India,Eicher Motors Limited
DRREDDY.NS,India,Dr. Reddy's Laboratories Limited
DIVISLAB.NS,India,Divi's Laboratories Limited
BPCL.NS,India,Bharat Petroleum Corporation Limited
HAVELLS.NS,India,Havells India Limited
ADANIPOWER.NS,India,Adani Power Limited
INDIGO.NS,India,InterGlobe Aviation Limited
CIPLA.NS,India,Cipla Limited
AMBUJACEM.NS,India,Ambuja Cements Limited
SRF.NS,India,SRF Limited
ABB.NS,India,ABB India Limited
BEL.NS,India,Bharat Electronics Limited
SBICARD.NS,India,SBI Cards and Payment Services Limited
GAIL.NS,India,GAIL (India) Limited
BAJAJHLDNG.NS,India,Bajaj Holdings & Investment Limited
TATACONSUM.NS,India,TATA CONSUMER PRODUCTS LIMITED
ICICIPRULI.NS,India,ICICI Prudential Life Insurance Company Limited
CHOLAFIN.NS,India,Cholamandalam Investment and Finance Company Limited
MARICO.NS,India,Marico Limited
